step_num,indicator,module_family,mean_value,n
512,mean_singular_value,mlp,0.7360444550481589,32
512,median_eigenvalue,attention,0.5391720237710971,32
512,median_eigenvalue,mlp,0.762777577495945,32
512,mp_edge,attention,27.931160352574157,32
512,mp_edge,mlp,1.8736153950611492,32
512,mp_outliers_x1,attention,3.6875,32
512,mp_outliers_x1,mlp,13.21875,32
512,mp_outliers_x1.1,attention,1.90625,32
512,mp_outliers_x1.1,mlp,5.03125,32
512,mp_outliers_x1.25,attention,1.03125,32
512,mp_outliers_x1.25,mlp,1.9375,32
512,nuclear_norm,attention,1187.2085136535434,32
512,nuclear_norm,mlp,1507.4190439386293,32
512,num_singular_values,attention,2048.0,32
512,num_singular_values,mlp,2048.0,32
512,rows,attention,4096.0,32
512,rows,mlp,5120.0,32
512,spectral_norm,attention,1.5851931357756257,32
512,spectral_norm,mlp,1.2487286496907473,32
512,stable_rank,attention,298.893539480201,32
512,stable_rank,mlp,671.3319936680762,32
512,subspace_stability_topk,attention,0.489118292927742,32
512,subspace_stability_topk,mlp,0.6297795893624425,32
1000,alpha_tail_frac_0.2,attention,3.4264341614513834,32
1000,alpha_tail_frac_0.2,mlp,4.501775001652434,32
1000,alpha_tail_frac_0.3,attention,3.0367599592783514,32
1000,alpha_tail_frac_0.3,mlp,4.014787578260864,32
1000,alpha_tail_frac_0.5,attention,2.2225265101583522,32
1000,alpha_tail_frac_0.5,mlp,3.0411154910563116,32
1000,cols,attention,2048.0,32
1000,cols,mlp,5120.0,32
1000,effective_rank,attention,1756.1194637207427,32
1000,effective_rank,mlp,1959.0102028282242,32
1000,frobenius_norm,attention,28.60266655291979,32
1000,frobenius_norm,mlp,35.65232585438417,32
1000,mean_singular_value,attention,0.5903824638046694,32
1000,mean_singular_value,mlp,0.7579898089904873,32
1000,median_eigenvalue,attention,0.5407809612843628,32
1000,median_eigenvalue,mlp,0.7769117792537715,32
1000,mp_edge,attention,31.712276358879645,32
1000,mp_edge,mlp,1.9083333243653897,32
1000,mp_outliers_x1,attention,12.6875,32
1000,mp_outliers_x1,mlp,86.78125,32
1000,mp_outliers_x1.1,attention,7.5,32
1000,mp_outliers_x1.1,mlp,60.5625,32
1000,mp_outliers_x1.25,attention,4.5625,32
1000,mp_outliers_x1.25,mlp,37.03125,32
1000,nuclear_norm,attention,1209.103285871963,32
1000,nuclear_norm,mlp,1552.363128812518,32
1000,num_singular_values,attention,2048.0,32
1000,num_singular_values,mlp,2048.0,32
1000,rows,attention,4096.0,32
1000,rows,mlp,5120.0,32
1000,spectral_norm,attention,2.1406584791839123,32
1000,spectral_norm,mlp,2.5883955880999565,32
1000,stable_rank,attention,161.555696324466,32
1000,stable_rank,mlp,186.89697308781757,32
1000,subspace_stability_topk,attention,0.5527633363381028,32
1000,subspace_stability_topk,mlp,0.53305234760046,32
2000,alpha_tail_frac_0.2,attention,2.4731297529190703,32
2000,alpha_tail_frac_0.2,mlp,2.712141967085182,32
2000,alpha_tail_frac_0.3,attention,2.274786428569504,32
2000,alpha_tail_frac_0.3,mlp,2.57759355992506,32
2000,alpha_tail_frac_0.5,attention,1.830210677555701,32
2000,alpha_tail_frac_0.5,mlp,2.1998608114046707,32
2000,cols,attention,2048.0,32
2000,cols,mlp,5120.0,32
2000,effective_rank,attention,1683.8641139997408,32
2000,effective_rank,mlp,1903.2909463404733,32
2000,frobenius_norm,attention,32.06423464869438,32
2000,frobenius_norm,mlp,43.591553165339924,32
2000,mean_singular_value,attention,0.6413468040584698,32
2000,mean_singular_value,mlp,0.9014008400481544,32
2000,median_eigenvalue,attention,0.554400576815821,32
2000,median_eigenvalue,mlp,0.8933750292034947,32
2000,mp_edge,attention,59.59016744517617,32
2000,mp_edge,mlp,2.194402742898889,32
2000,mp_outliers_x1,attention,41.65625,32
2000,mp_outliers_x1,mlp,237.1875,32
2000,mp_outliers_x1.1,attention,28.34375,32
2000,mp_outliers_x1.1,mlp,194.75,32
2000,mp_outliers_x1.25,attention,17.8125,32
2000,mp_outliers_x1.25,mlp,148.8125,32
2000,nuclear_norm,attention,1313.478254711746,32
2000,nuclear_norm,mlp,1846.06892041862,32
2000,num_singular_values,attention,2048.0,32
2000,num_singular_values,mlp,2048.0,32
2000,rows,attention,4096.0,32
2000,rows,mlp,5120.0,32
2000,spectral_norm,attention,3.163952887058258,32
2000,spectral_norm,mlp,5.209944885224104,32
2000,stable_rank,attention,108.83181994481946,32
2000,stable_rank,mlp,97.5056185857568,32
2000,subspace_stability_topk,attention,0.6229182719253004,32
2000,subspace_stability_topk,mlp,0.6858948795124888,32
3000,alpha_tail_frac_0.2,attention,2.3762528875481603,32
3000,alpha_tail_frac_0.2,mlp,2.591375372997012,32
3000,alpha_tail_frac_0.3,attention,2.1227790608666064,32
3000,alpha_tail_frac_0.3,mlp,2.435082026013467,32
3000,alpha_tail_frac_0.5,attention,1.7023005562427955,32
3000,alpha_tail_frac_0.5,mlp,2.0801508920311527,32
3000,cols,attention,2048.0,32
3000,cols,mlp,5120.0,32
3000,effective_rank,attention,1678.4847247519488,32
3000,effective_rank,mlp,1899.0569678488564,32
3000,frobenius_norm,attention,35.321984402888496,32
3000,frobenius_norm,mlp,50.97375397931124,32
3000,mean_singular_value,attention,0.6955281089834763,32
3000,mean_singular_value,mlp,1.0442516966359108,32
3000,median_eigenvalue,attention,0.577515883501344,32
3000,median_eigenvalue,mlp,1.054547212223887,32
3000,mp_edge,attention,115.29791563799694,32
3000,mp_edge,mlp,2.590290996921701,32
3000,mp_outliers_x1,attention,65.78125,32
3000,mp_outliers_x1,mlp,253.78125,32
3000,mp_outliers_x1.1,attention,48.125,32
