outcome,model_kind,break_step,include_uptake,n,p,rss,aic,bic,rmse,loocv_rmse,delta_aic,delta_bic
normalized_retention_accuracy,monotone_log_step,,False,30,2,0.5327051821426056,-116.92953556097567,-114.12714079765135,0.13325479130130188,0.14084623454157497,6.264945348631613,4.86374796696947
normalized_retention_accuracy,free_break_candidate_segmented,8000,False,30,3,0.5182947454098571,-115.7522572087481,-111.54866506376163,0.1314400681438575,0.1430955384899946,7.442223700859174,7.442223700859188
normalized_retention_accuracy,fixed_break_segmented,2000,False,30,3,0.5185185888904824,-115.73930347001628,-111.53571132502981,0.13146844854571033,0.1420628194180507,7.455177439590997,7.4551774395910115
normalized_retention_accuracy,free_break_candidate_segmented,2000,False,30,3,0.5185185888904824,-115.73930347001628,-111.53571132502981,0.13146844854571033,0.1420628194180507,7.455177439590997,7.4551774395910115
normalized_retention_accuracy,fixed_break_segmented,3000,False,30,3,0.5314005741381564,-115.0030964068073,-110.79950426182083,0.133091519156075,0.1446044013282715,8.191384502799977,8.191384502799991
normalized_retention_accuracy,free_break_candidate_segmented,3000,False,30,3,0.5314005741381564,-115.0030964068073,-110.79950426182083,0.133091519156075,0.1446044013282715,8.191384502799977,8.191384502799991
normalized_retention_accuracy,quadratic_log_step,,False,30,3,0.5324063299265535,-114.94637054325732,-110.74277839827084,0.13321740751200065,0.14516210184043843,8.248110366349962,8.248110366349977
normalized_retention_accuracy,free_break_candidate_segmented,512,False,30,3,0.5327051821426054,-114.92953556097567,-110.7259434159892,0.13325479130130186,0.14084623454157502,8.264945348631613,8.264945348631613
normalized_retention_accuracy,fixed_break_segmented,1000,True,30,4,0.3910363350079938,-122.20456529701937,-116.59977577037075,0.11416892966243687,0.12750368559507697,0.0,0.0
normalized_retention_accuracy,free_break_candidate_segmented,1000,True,30,4,0.3910363350079938,-122.20456529701937,-116.59977577037075,0.11416892966243687,0.12750368559507697,0.0,0.0
normalized_retention_accuracy,window_indicator,,True,30,4,0.4311982477409819,-119.27154114214693,-113.66675161549831,0.11988859380566358,0.12855370155576576,2.9330241548724416,2.9330241548724416
normalized_retention_accuracy,free_break_candidate_segmented,8000,True,30,4,0.46190849034679915,-117.20757586071986,-111.60278633407124,0.12408444575460148,0.15063373415709844,4.996989436299515,4.996989436299515
normalized_retention_accuracy,monotone_log_step,,True,30,3,0.5188424550848921,-115.72057134930597,-111.51697920431951,0.13150949966762757,0.14414430673605783,6.483993947713401,5.082796566051243
normalized_retention_accuracy,quadratic_log_step,,True,30,4,0.5032193719915581,-114.63779375201767,-109.03300422536906,0.12951439713941176,0.15347871425495116,7.5667715450017,7.5667715450017
normalized_retention_accuracy,fixed_break_segmented,2000,True,30,4,0.5155400026888886,-113.9121328124058,-108.30734328575718,0.13109030000841512,0.14601393132176016,8.29243248461357,8.29243248461357
normalized_retention_accuracy,free_break_candidate_segmented,2000,True,30,4,0.5155400026888886,-113.9121328124058,-108.30734328575718,0.13109030000841512,0.14601393132176016,8.29243248461357,8.29243248461357
normalized_retention_accuracy,fixed_break_segmented,3000,True,30,4,0.5159249478030817,-113.889740672069,-108.28495114542038,0.13113923234525482,0.15174605252563,8.314824624950376,8.314824624950376
normalized_retention_accuracy,free_break_candidate_segmented,3000,True,30,4,0.5159249478030817,-113.889740672069,-108.28495114542038,0.13113923234525482,0.15174605252563,8.314824624950376,8.314824624950376
normalized_retention_accuracy,free_break_candidate_segmented,512,True,30,4,0.5188424550848922,-113.72057134930597,-108.11578182265735,0.1315094996676276,0.1441443067360582,8.483993947713401,8.483993947713401
normalized_degradation_auc_margin,fixed_break_segmented,1000,False,30,3,0.0163477133885053,-219.4459388098665,-215.24234666488005,0.02334360254152823,0.025917673926420193,0.0,0.0
normalized_degradation_auc_margin,free_break_candidate_segmented,1000,False,30,3,0.0163477133885053,-219.4459388098665,-215.24234666488005,0.02334360254152823,0.025917673926420193,0.0,0.0
normalized_degradation_auc_margin,quadratic_log_step,,False,30,3,0.024206689923517363,-207.66970867693374,-203.46611653194728,0.02840580335278771,0.03150878510856073,11.776230132932767,11.776230132932767
