step,step_num,layer,module,metric,value,module_family,module_role
8,8,0,attention.query_key_value,subspace_stability_topk,0.9997897148132324,Attention,QKV
8,8,0,mlp.dense_4h_to_h,subspace_stability_topk,1.0003052949905396,MLP,MLP out
8,8,0,mlp.dense_h_to_4h,subspace_stability_topk,0.999784767627716,MLP,MLP in
8,8,1,attention.dense,subspace_stability_topk,0.9999099969863892,Attention,Attention output
8,8,1,attention.query_key_value,subspace_stability_topk,0.999813199043274,Attention,QKV
8,8,1,mlp.dense_4h_to_h,subspace_stability_topk,1.0002974271774292,MLP,MLP out
8,8,1,mlp.dense_h_to_4h,subspace_stability_topk,0.9997925758361816,MLP,MLP in
8,8,2,attention.dense,subspace_stability_topk,0.9999049305915833,Attention,Attention output
8,8,2,attention.query_key_value,subspace_stability_topk,0.99978768825531,Attention,QKV
8,8,2,mlp.dense_4h_to_h,subspace_stability_topk,1.000279426574707,MLP,MLP out
8,8,2,mlp.dense_h_to_4h,subspace_stability_topk,0.999798059463501,MLP,MLP in
8,8,3,attention.dense,subspace_stability_topk,0.9999029040336608,Attention,Attention output
8,8,3,attention.query_key_value,subspace_stability_topk,0.9998141527175904,Attention,QKV
8,8,3,mlp.dense_4h_to_h,subspace_stability_topk,1.0003182888031006,MLP,MLP out
8,8,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9997910261154176,MLP,MLP in
8,8,4,attention.dense,subspace_stability_topk,0.9998767971992492,Attention,Attention output
8,8,4,attention.query_key_value,subspace_stability_topk,0.9997720718383788,Attention,QKV
8,8,4,mlp.dense_4h_to_h,subspace_stability_topk,1.0003198385238647,MLP,MLP out
8,8,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9997936487197876,MLP,MLP in
8,8,5,attention.dense,subspace_stability_topk,0.9999030828475952,Attention,Attention output
8,8,5,attention.query_key_value,subspace_stability_topk,0.9997749924659728,Attention,QKV
8,8,5,mlp.dense_4h_to_h,subspace_stability_topk,1.000312089920044,MLP,MLP out
8,8,5,mlp.dense_h_to_4h,subspace_stability_topk,0.999800443649292,MLP,MLP in
8,8,6,attention.dense,subspace_stability_topk,0.9998809695243835,Attention,Attention output
8,8,6,attention.query_key_value,subspace_stability_topk,0.9998002052307128,Attention,QKV
8,8,6,mlp.dense_4h_to_h,subspace_stability_topk,1.000317096710205,MLP,MLP out
8,8,6,mlp.dense_h_to_4h,subspace_stability_topk,0.9997804760932922,MLP,MLP in
8,8,7,attention.dense,subspace_stability_topk,0.9999133944511414,Attention,Attention output
8,8,7,attention.query_key_value,subspace_stability_topk,0.999802589416504,Attention,QKV
8,8,7,mlp.dense_4h_to_h,subspace_stability_topk,1.0003013610839844,MLP,MLP out
8,8,7,mlp.dense_h_to_4h,subspace_stability_topk,0.9997929334640504,MLP,MLP in
8,8,8,attention.dense,subspace_stability_topk,0.999887228012085,Attention,Attention output
8,8,8,attention.query_key_value,subspace_stability_topk,0.9997826218605042,Attention,QKV
8,8,8,mlp.dense_4h_to_h,subspace_stability_topk,1.000314235687256,MLP,MLP out
